date,gameVersion
2018-07-20,8152386807
2018-07-19,8152386700
2018-07-19,8152386561
2018-07-19,8152385473
2018-07-19,8152385303
2018-07-18,8152385101
2018-07-18,8152384836
2018-07-17,8152383220
2018-07-17,8152382979
2018-07-17,8152382919
2018-07-27,8142397344
2018-07-24,8142389731
2018-07-26,8142389513
2018-07-20,8142385230
2018-07-20,8142382200
2018-07-17,8142381827
2018-07-17,8142381713
2018-07-17,8142381178
2018-07-14,8142379913
2018-07-14,8142379168
2018-07-13,8142377778
2018-07-13,8142377569
2018-07-12,8142374873
2018-07-11,8142374819
2018-07-11,8142374648
2018-07-11,8142374339
2018-07-10,8142372815
2018-07-10,8142372295
2018-07-10,8142372116
2018-07-09,814237742
2018-07-08,8142369056
2018-07-07,8142368719
2018-07-07,8142368616
2018-07-06,8142366821
2018-07-06,8142366764
2018-07-04,8142364665
2018-07-03,8142364430
2018-07-03,8142364285
2018-07-02,8142363000
2018-07-02,8142362852
2018-06-30,8142362407
2018-06-30,8142362199
2018-06-30,8142361115
2018-06-30,8142361095
2018-06-29,814236105
2018-06-28,8142359600
2018-06-28,8142359472
2018-06-28,8142358012
2018-06-27,8142357855
2018-06-27,8142356413
2018-06-26,8142356130
2018-06-26,8142355814
2018-06-29,813236184
2018-06-28,8132357366
2018-06-28,8132355532
2018-06-27,8132354943
2018-06-23,8132352961
2018-06-22,813235733
2018-06-21,813235108
2018-06-21,8132349676
2018-06-20,8132349372
2018-06-20,8132349172
2018-06-20,8132347635
2018-06-20,8132347406
2018-06-19,8132347357
2018-06-18,8132345642
2018-06-18,8132345471
2018-06-18,8132345404
2018-06-14,813234857
2018-06-14,8132339639
2018-06-14,8132339315
2018-06-13,8132339243
2018-06-13,8132337356
2018-06-12,8132336178
2018-06-23,812235502
2018-06-21,8122349918
2018-06-19,8122346861
2018-06-12,8122336205
2018-06-09,8122334186
2018-06-22,8122332318
2018-06-07,812233818
2018-06-07,812233670
2018-06-07,8122329760
2018-06-06,8122329630
2018-06-06,8122328074
2018-06-05,8122326470
2018-06-04,8122325675
2018-06-02,8122324275
2018-06-01,8122324131
2018-06-01,8122322669
2018-05-30,812232140
2018-05-30,8122319916
2018-06-05,8112327066
2018-06-05,8112324222
2018-06-02,8112324121
2018-05-31,8112317304
2018-05-25,8112314821
2018-05-25,8112313297
2018-05-24,8112312458
2018-05-23,8112312221
2018-05-22,811231512
2018-05-22,811231429
2018-05-22,8112308950
2018-05-21,8112308861
2018-05-21,8112306950
2018-05-18,8112306688
2018-05-18,8112306602
2018-05-17,8112304610
2018-05-17,8112304328
2018-05-16,8112302442
2018-05-16,8112302397
2018-05-15,811230589
2018-05-15,811230474
2018-05-15,811230276
2018-05-21,8102307029
2018-05-18,8102302934
2018-05-12,8102297328
2018-05-12,8102295961
2018-05-11,8102293304
2018-05-10,8102293076
2018-05-17,8102292451
2018-05-10,8102292184
2018-05-10,8102292036
2018-05-09,81022955
2018-05-09,8102289549
2018-05-07,8102288180
2018-05-08,8102287839
2018-05-07,8102287666
2018-05-05,8102285298
2018-05-04,8102283555
2018-05-04,8102283265
2018-05-03,8102282897
2018-05-03,8102281601
2018-05-03,8102281359
2018-05-02,8102281161
2018-05-02,8102279597
2018-05-02,8102279445
2018-05-02,8102279187
2018-05-07,892285644
2018-05-03,89228506
2018-05-02,892277511
2018-04-28,892276342
2018-04-27,892274222
2018-04-27,892273878
2018-04-25,892272397
2018-04-25,892271827
2018-04-25,89227404
2018-04-25,89227236
2018-04-24,892268331
2018-04-23,892268068
2018-04-21,892266500
2018-04-21,892264771
2018-04-20,892264398
2018-04-19,892264194
2018-04-19,892264072
2018-04-19,892262231
2018-04-19,892262104
2018-04-18,89226333
